"";"";"Huwen|Huwelijkssluitingen|Totaal huwelijkssluitingen";"Huwen|Huwende personen|Huwende mannen";"Huwen|Huwende personen|Huwende mannen, relatief";"Huwen|Huwende personen|Huwende vrouwen";"Huwen|Huwende personen|Huwende vrouwen, relatief";"Van echt scheidende personen|Van echt scheidende mannen";"Van echt scheidende personen|Van echt scheidende mannen, relatief";"Van echt scheidende personen|Van echt scheidende vrouwen";"Van echt scheidende personen|Van echt scheidende vrouwen, relatief";"Verweduwende personen|Verweduwende mannen";"Verweduwende personen|Verweduwende mannen, relatief";"Verweduwende personen|Verweduwende vrouwen";"Verweduwende personen|Verweduwende vrouwen, relatief"
"Regio's";"Perioden";"aantal";"aantal";"per 1 000 niet-gehuwde mannen";"aantal";"per 1 000 niet-gehuwde vrouwen";"aantal";"per 1 000 gehuwde mannen";"aantal";"per 1 000 gehuwde vrouwen";"aantal";"per 1 000 gehuwde mannen";"aantal";"per 1 000 gehuwde vrouwen"
"Fryslân (PV)";"2015";"2106";"1912";"14,6";"1894";"14,9";"1214";"9,6";"1242";"9,9";"783";"5,6";"1695";"11,8"
"Fryslân (PV)";"2016";"2126";"1859";"14,0";"1847";"14,4";"1204";"9,6";"1239";"10,0";"832";"5,9";"1691";"11,8"
"Fryslân (PV)";"2017";"2031";"1783";"13,2";"1770";"13,7";"1134";"9,1";"1144";"9,3";"838";"6,0";"1579";"11,0"
"Fryslân (PV)";"2018";"2074";"1872";"13,7";"1823";"14,0";"1036";"8,4";"1084";"8,9";"888";"6,4";"1649";"11,5"
"Fryslân (PV)";"2019";"1855";"1677";"12,2";"1659";"12,6";"1023";"8,4";"1059";"8,7";"884";"6,3";"1679";"11,8"
"Fryslân (PV)";"2020";"1484";"1376";"9,8";"1361";"10,2";"887";"7,3";"944";"7,8";"850";"6,1";"1803";"12,6"
"Drenthe (PV)";"1988";"2591";"2367";"40,4";"2338";"37,8";"558";"5,2";"559";"5,2";"540";"4,6";"1375";"11,8"
"Drenthe (PV)";"1989";"2563";"2338";"39,3";"2352";"37,5";"624";"5,8";"641";"6,0";"568";"4,8";"1336";"11,4"
"Drenthe (PV)";"1990";"2757";"2461";"41,0";"2466";"39,1";"610";"5,6";"637";"5,9";"535";"4,5";"1339";"11,3"
"Drenthe (PV)";"1991";"2768";"2492";"41,1";"2489";"39,3";"601";"5,5";"595";"5,5";"547";"4,6";"1398";"11,7"
"Drenthe (PV)";"1992";"2684";"2407";"39,1";"2404";"37,8";"707";"6,5";"686";"6,3";"545";"4,5";"1408";"11,7"
"Drenthe (PV)";"1993";"2547";"2283";"36,4";"2262";"35,1";"717";"6,6";"742";"6,9";"563";"4,7";"1419";"11,7"
"Drenthe (PV)";"1994";"2422";"2184";"34,4";"2182";"33,4";"787";"7,2";"823";"7,6";"567";"4,7";"1380";"11,4"
"Drenthe (PV)";"1995";"2360";"2177";"33,6";"2144";"32,3";"743";"6,8";"740";"6,8";"576";"4,8";"1478";"12,1"
"Drenthe (PV)";"1996";"2330";"2153";"32,7";"2153";"31,8";"721";"6,5";"729";"6,7";"583";"4,8";"1359";"11,1"
"Drenthe (PV)";"1997";"2315";"2159";"32,1";"2140";"31,1";"757";"6,9";"767";"7,0";"561";"4,6";"1397";"11,4"
"Drenthe (PV)";"1998";"2382";"2258";"33,1";"2244";"32,3";"682";"6,1";"708";"6,5";"600";"4,9";"1387";"11,2"
"Drenthe (PV)";"1999";"2290";"2236";"32,5";"2172";"31,0";"784";"7,1";"832";"7,6";"577";"4,7";"1442";"11,6"
"Drenthe (PV)";"2000";"2232";"2173";"31,2";"2116";"29,7";"846";"7,6";"861";"7,8";"621";"5,0";"1459";"11,7"
"Drenthe (PV)";"2001";"2062";"2040";"28,6";"2035";"28,0";"929";"8,4";"931";"8,5";"592";"4,8";"1364";"10,9"
"Drenthe (PV)";"2002";"2116";"2084";"28,7";"2026";"27,3";"714";"6,4";"723";"6,6";"628";"5,1";"1493";"11,9"
"Drenthe (PV)";"2003";"2012";"1967";"26,7";"1931";"25,6";"743";"6,7";"759";"7,0";"611";"4,9";"1379";"11,0"
"Drenthe (PV)";"2004";"1860";"1796";"24,0";"1766";"23,0";"722";"6,6";"733";"6,8";"657";"5,3";"1301";"10,4"
"Drenthe (PV)";"2005";"1891";"1874";"24,6";"1859";"23,8";"797";"7,4";"836";"7,8";"564";"4,6";"1343";"10,7"
"Drenthe (PV)";"2006";"1803";"1774";"22,7";"1765";"22,1";"757";"7,0";"777";"7,3";"545";"4,4";"1299";"10,4"
"Drenthe (PV)";"2007";"1881";"1862";"23,4";"1827";"22,5";"854";"8,0";"896";"8,4";"598";"4,8";"1327";"10,6"
"Drenthe (PV)";"2008";"1925";"1936";"24,0";"1930";"23,5";"778";"7,3";"838";"7,9";"624";"5,1";"1387";"11,1"
"Drenthe (PV)";"2009";"1865";"1855";"22,7";"1835";"22,1";"882";"8,3";"919";"8,7";"652";"5,3";"1304";"10,5"
"Drenthe (PV)";"2010";"1800";"1787";"21,5";"1739";"20,8";"919";"8,7";"965";"9,2";"627";"5,2";"1396";"11,3"
"Drenthe (PV)";"2011";"1814";"1713";"20,3";"1715";"20,3";"931";"8,9";"958";"9,3";"731";"6,1";"1291";"10,5"
"Drenthe (PV)";"2012";"1709";"1668";"19,5";"1680";"19,8";"978";"9,5";"1020";"10,0";"620";"5,2";"1376";"11,3"
"Drenthe (PV)";"2013";"1521";"1485";"17,2";"1467";"17,1";"980";"9,6";"989";"9,8";"654";"5,5";"1402";"11,6"
"Drenthe (PV)";"2014";"1568";"1496";"17,0";"1524";"17,6";"1018";"10,1";"1036";"10,4";"683";"5,8";"1260";"10,4"
"Drenthe (PV)";"2015";"1504";"1432";"16,0";"1431";"16,3";"973";"9,7";"1012";"10,2";"667";"5,6";"1367";"11,4"
"Drenthe (PV)";"2016";"1462";"1399";"15,4";"1404";"15,8";"972";"9,8";"1013";"10,3";"713";"6,0";"1363";"11,4"
"Drenthe (PV)";"2017";"1549";"1484";"16,1";"1468";"16,3";"970";"9,8";"983";"10,0";"715";"6,1";"1446";"12,1"
"Drenthe (PV)";"2018";"1459";"1410";"15,2";"1379";"15,1";"843";"8,6";"870";"9,0";"747";"6,4";"1423";"12,0"
"Drenthe (PV)";"2019";"1500";"1396";"14,8";"1388";"15,0";"871";"9,0";"902";"9,4";"759";"6,5";"1324";"11,1"
"Drenthe (PV)";"2020";"1146";"1067";"11,1";"1084";"11,6";"815";"8,4";"867";"9,1";"748";"6,4";"1481";"12,5"
"Overijssel (PV)";"1988";"5808";"5629";"37,2";"5688";"35,2";"1369";"5,7";"1416";"5,9";"1206";"5,1";"2876";"12,0"
"Overijssel (PV)";"1989";"6049";"5957";"38,6";"5929";"36,0";"1309";"5,4";"1370";"5,7";"1206";"5,1";"2914";"12,1"
"Overijssel (PV)";"1990";"6357";"6170";"39,9";"6177";"37,7";"1314";"5,4";"1351";"5,6";"1114";"4,6";"3004";"12,5"
"Overijssel (PV)";"1991";"6123";"6007";"38,5";"5994";"36,4";"1249";"5,1";"1311";"5,4";"1229";"5,1";"2989";"12,3"
"Overijssel (PV)";"1992";"6285";"6154";"39,0";"6179";"37,2";"1402";"5,7";"1418";"5,8";"1213";"5,0";"2824";"11,6"
"Overijssel (PV)";"1993";"5846";"5766";"35,9";"5732";"34,1";"1454";"5,9";"1508";"6,1";"1246";"5,1";"3145";"12,9"
"Overijssel (PV)";"1994";"5610";"5473";"33,6";"5505";"32,5";"1516";"6,1";"1574";"6,4";"1243";"5,1";"2933";"12,0"
"Overijssel (PV)";"1995";"5228";"5291";"31,8";"5245";"30,5";"1511";"6,1";"1582";"6,4";"1196";"5,0";"2960";"12,1"
"Overijssel (PV)";"1996";"5436";"5571";"33,1";"5543";"31,9";"1577";"6,3";"1654";"6,7";"1241";"5,2";"2990";"12,3"
"Overijssel (PV)";"1997";"5505";"5646";"33,2";"5608";"32,0";"1604";"6,4";"1624";"6,5";"1222";"5,1";"2961";"12,2"
"Overijssel (PV)";"1998";"5464";"5717";"33,3";"5676";"32,1";"1482";"5,9";"1565";"6,3";"1209";"5,0";"2922";"12,0"
"Overijssel (PV)";"1999";"5772";"5947";"34,2";"5925";"33,2";"1626";"6,4";"1661";"6,6";"1212";"5,0";"3000";"12,3"
"Overijssel (PV)";"2000";"5479";"5821";"33,0";"5711";"31,6";"1812";"7,1";"1852";"7,3";"1305";"5,4";"2996";"12,2"
"Overijssel (PV)";"2001";"5210";"5484";"30,5";"5378";"29,3";"1899";"7,5";"1982";"7,8";"1281";"5,3";"2897";"11,8"
"Overijssel (PV)";"2002";"5467";"5759";"31,4";"5691";"30,4";"1720";"6,8";"1787";"7,1";"1293";"5,4";"2978";"12,2"
"Overijssel (PV)";"2003";"5238";"5453";"29,2";"5402";"28,5";"1637";"6,4";"1691";"6,7";"1296";"5,4";"2887";"11,8"
"Overijssel (PV)";"2004";"4686";"4783";"25,3";"4773";"24,9";"1545";"6,1";"1610";"6,4";"1267";"5,3";"2819";"11,6"
"Overijssel (PV)";"2005";"4768";"4969";"25,8";"4918";"25,2";"1603";"6,3";"1634";"6,5";"1272";"5,3";"2783";"11,5"
"Overijssel (PV)";"2006";"4798";"5026";"25,7";"4934";"24,9";"1597";"6,3";"1682";"6,7";"1225";"5,2";"2748";"11,4"
"Overijssel (PV)";"2007";"4729";"4896";"24,6";"4814";"24,0";"1711";"6,8";"1770";"7,0";"1203";"5,1";"2590";"10,8"
"Overijssel (PV)";"2008";"4806";"4951";"24,5";"4951";"24,3";"1743";"6,9";"1822";"7,2";"1229";"5,2";"2629";"10,9"
"Overijssel (PV)";"2009";"4618";"4806";"23,3";"4768";"23,0";"1731";"6,9";"1805";"7,2";"1245";"5,3";"2694";"11,2"
"Overijssel (PV)";"2010";"4706";"4952";"23,6";"4841";"23,0";"1918";"7,6";"2000";"8,0";"1256";"5,3";"2643";"11,0"
"Overijssel (PV)";"2011";"4404";"4558";"21,5";"4517";"21,3";"1853";"7,4";"1926";"7,7";"1304";"5,5";"2568";"10,7"
"Overijssel (PV)";"2012";"4305";"4455";"20,7";"4448";"20,7";"1888";"7,5";"1946";"7,8";"1322";"5,6";"2661";"11,1"
"Overijssel (PV)";"2013";"3936";"4114";"18,8";"4048";"18,7";"2090";"8,4";"2147";"8,6";"1325";"5,6";"2759";"11,6"
"Overijssel (PV)";"2014";"4157";"4279";"19,3";"4251";"19,4";"2127";"8,6";"2208";"9,0";"1354";"5,8";"2626";"11,1"
"Overijssel (PV)";"2015";"3870";"3976";"17,7";"3937";"17,8";"1952";"7,9";"2037";"8,3";"1418";"6,1";"2713";"11,5"
"Overijssel (PV)";"2016";"3902";"4107";"18,0";"4058";"18,1";"1987";"8,1";"2049";"8,4";"1419";"6,1";"2738";"11,6"
"Overijssel (PV)";"2017";"3747";"3875";"16,8";"3834";"17,0";"1936";"7,9";"2033";"8,4";"1385";"6,0";"2863";"12,2"
"Overijssel (PV)";"2018";"3599";"3747";"16,0";"3726";"16,3";"1809";"7,5";"1880";"7,8";"1441";"6,3";"2751";"11,7"
"Overijssel (PV)";"2019";"3459";"3723";"15,7";"3638";"15,7";"1779";"7,4";"1809";"7,5";"1440";"6,2";"2873";"12,3"
"Overijssel (PV)";"2020";"2851";"2999";"12,4";"2967";"12,5";"1755";"7,3";"1787";"7,5";"1523";"6,6";"3161";"13,5"
"Flevoland (PV)";"1988";"1081";"1362";"52,0";"1349";"46,1";"494";"9,3";"488";"9,1";"139";"4,2";"367";"10,7"
"Flevoland (PV)";"1989";"1083";"1396";"50,1";"1367";"43,8";"520";"9,4";"527";"9,5";"177";"5,0";"433";"12,0"
