"Regio";"Perioden";"Marriages";"Divorced men";"Divorced woman";"Widowed man";"Widowed woman"
"Noord-Holland (PV)";"2009";"10959";"4646";"4794";"2536";"5458"
"Noord-Holland (PV)";"2010";"10818";"5083";"5199";"2501";"5515"
"Noord-Holland (PV)";"2011";"10213";"5002";"5123";"2596";"5239"
"Noord-Holland (PV)";"2012";"9969";"4968";"5053";"2692";"5403"
"Noord-Holland (PV)";"2013";"9145";"5009";"5158";"2658";"5513"
"Noord-Holland (PV)";"2014";"9171";"5337";"5520";"2630";"5264"
"Noord-Holland (PV)";"2015";"9233";"5232";"5345";"2759";"5757"
"Noord-Holland (PV)";"2016";"9682";"5043";"5188";"2768";"5597"
"Zuid-Holland (PV)";"2000";"16023";"7352";"7439";"3891";"8710"
"Zuid-Holland (PV)";"2001";"14713";"8090";"8171";"3724";"8682"
"Zuid-Holland (PV)";"2002";"15194";"7151";"7276";"3678";"8421"
"Zuid-Holland (PV)";"2003";"14678";"6610";"6774";"3801";"8466"
"Zuid-Holland (PV)";"2004";"13840";"6504";"6660";"3654";"8022"
"Zuid-Holland (PV)";"2005";"13533";"6637";"6858";"3693";"8013"
"Zuid-Holland (PV)";"2006";"13697";"6707";"6958";"3544";"7821"
"Zuid-Holland (PV)";"2007";"14012";"6519";"6747";"3568";"7779"
"Zuid-Holland (PV)";"2008";"14669";"6689";"6934";"3579";"7629"
"Zuid-Holland (PV)";"2009";"14274";"6436";"6597";"3548";"7524"
"Zuid-Holland (PV)";"2010";"14473";"6648";"6748";"3538";"7756"
"Zuid-Holland (PV)";"2011";"14189";"6720";"6948";"3525";"7399"
"Zuid-Holland (PV)";"2012";"13585";"6787";"7033";"3548";"7600"
"Zuid-Holland (PV)";"2013";"12602";"6844";"7176";"3596";"7427"
"Zuid-Holland (PV)";"2014";"12734";"7322";"7661";"3565";"7350"
"Zuid-Holland (PV)";"2015";"12456";"7221";"7530";"3637";"7566"
"Zuid-Holland (PV)";"2016";"12617";"6893";"7244";"3744";"7772"
"Zeeland (PV)";"2000";"1798";"751";"787";"459";"1113"
"Zeeland (PV)";"2001";"1671";"900";"922";"478";"1144"
"Zeeland (PV)";"2002";"1846";"773";"768";"499";"1160"
"Zeeland (PV)";"2003";"1776";"703";"706";"463";"1058"
"Zeeland (PV)";"2004";"1688";"703";"719";"440";"1086"
"Zeeland (PV)";"2005";"1623";"745";"763";"474";"1125"
"Zeeland (PV)";"2006";"1638";"759";"782";"450";"1063"
"Zeeland (PV)";"2007";"1694";"701";"694";"450";"1026"
"Zeeland (PV)";"2008";"1808";"752";"757";"469";"1050"
"Zeeland (PV)";"2009";"1752";"701";"699";"462";"1000"
"Zeeland (PV)";"2010";"1758";"729";"736";"518";"1064"
"Zeeland (PV)";"2011";"1649";"719";"732";"480";"1043"
"Zeeland (PV)";"2012";"1669";"771";"790";"471";"1068"
"Zeeland (PV)";"2013";"1418";"754";"765";"469";"1096"
"Zeeland (PV)";"2014";"1515";"823";"826";"435";"997"
"Zeeland (PV)";"2015";"1478";"771";"818";"490";"1072"
"Zeeland (PV)";"2016";"1551";"801";"805";"495";"1025"
"Noord-Brabant (PV)";"2000";"11951";"4947";"5089";"2620";"5873"
"Noord-Brabant (PV)";"2001";"11189";"5200";"5338";"2664";"5767"
"Noord-Brabant (PV)";"2002";"11293";"4500";"4595";"2724";"5917"
"Noord-Brabant (PV)";"2003";"10617";"4317";"4479";"2732";"5865"
"Noord-Brabant (PV)";"2004";"9715";"4320";"4494";"2690";"5696"
"Noord-Brabant (PV)";"2005";"9605";"4566";"4750";"2655";"5699"
"Noord-Brabant (PV)";"2006";"9491";"4511";"4623";"2678";"5708"
"Noord-Brabant (PV)";"2007";"9588";"4563";"4724";"2695";"5579"
"Noord-Brabant (PV)";"2008";"10058";"4437";"4563";"2698";"5568"
"Noord-Brabant (PV)";"2009";"9448";"4319";"4465";"2680";"5646"
"Noord-Brabant (PV)";"2010";"9605";"4456";"4637";"2747";"5734"
"Noord-Brabant (PV)";"2011";"9039";"4538";"4672";"2808";"5636"
"Noord-Brabant (PV)";"2012";"9096";"4682";"4932";"2890";"5804"
"Noord-Brabant (PV)";"2013";"7994";"4576";"4728";"2890";"5692"
"Noord-Brabant (PV)";"2014";"8175";"4932";"5102";"2964";"5777"
"Noord-Brabant (PV)";"2015";"8266";"4812";"4957";"3136";"5815"
"Noord-Brabant (PV)";"2016";"8400";"4560";"4717";"3091";"6105"
"Limburg (PV)";"2000";"5588";"2403";"2441";"1364";"3249"
"Limburg (PV)";"2001";"4860";"2592";"2651";"1378";"3248"
"Limburg (PV)";"2002";"5309";"2293";"2368";"1405";"3209"
"Limburg (PV)";"2003";"4703";"2283";"2352";"1476";"3211"
"Limburg (PV)";"2004";"4282";"2191";"2304";"1374";"3139"
"Limburg (PV)";"2005";"4352";"2302";"2364";"1398";"3095"
"Limburg (PV)";"2006";"4215";"2215";"2331";"1368";"3043"
"Limburg (PV)";"2007";"4292";"2238";"2306";"1354";"3003"
"Limburg (PV)";"2008";"4382";"2200";"2277";"1387";"2932"
"Limburg (PV)";"2009";"4170";"2024";"2106";"1378";"3023"
"Limburg (PV)";"2010";"4195";"2282";"2375";"1444";"3008"
"Limburg (PV)";"2011";"4089";"2162";"2221";"1414";"2899"
"Limburg (PV)";"2012";"3880";"2306";"2375";"1416";"3001"
"Limburg (PV)";"2013";"3373";"2216";"2346";"1527";"2994"
"Limburg (PV)";"2014";"3503";"2316";"2364";"1514";"2940"
"Limburg (PV)";"2015";"3511";"2107";"2204";"1552";"3154"
"Limburg (PV)";"2016";"3424";"2120";"2171";"1552";"3094"
